ride_id,customer_query
RIDE1,Can I get a refund for my last ride?
RIDE2,Can I get a refund for my last ride?
RIDE3,I need to cancel my ride.
RIDE4,Can I get a refund for my last ride?
RIDE5,I need to cancel my ride.
RIDE6,Can I get a refund for my last ride?
RIDE7,Is it safe to fly in this weather?
RIDE8,Is it safe to fly in this weather?
RIDE9,Can I get a refund for my last ride?
RIDE10,Is the ride on time? I'm in a hurry!
RIDE11,I need to cancel my ride.
RIDE12,Can I change my destination?
RIDE13,Why is the drone not here yet?
RIDE14,Can I get a refund for my last ride?
RIDE15,Can I change my destination?
RIDE16,Can I change my destination?
RIDE17,Can I change my destination?
RIDE18,Is the ride on time? I'm in a hurry!
RIDE19,Is the ride on time? I'm in a hurry!
RIDE20,I want to schedule a ride for tomorrow.
RIDE21,Is it safe to fly in this weather?
RIDE22,Why is the drone not here yet?
RIDE23,Why is the drone not here yet?
RIDE24,I need to cancel my ride.
RIDE25,Can I get a refund for my last ride?
RIDE26,Can I get a refund for my last ride?
RIDE27,Can I get a refund for my last ride?
RIDE28,Can I get a refund for my last ride?
RIDE29,Why is the drone not here yet?
RIDE30,I need to cancel my ride.
RIDE31,Can I get a refund for my last ride?
RIDE32,Can I get a refund for my last ride?
RIDE33,I need to cancel my ride.
RIDE34,Why is the drone not here yet?
RIDE35,Is it safe to fly in this weather?
RIDE36,Is the ride on time? I'm in a hurry!
RIDE37,Can I get a refund for my last ride?
RIDE38,Is the ride on time? I'm in a hurry!
RIDE39,Is the ride on time? I'm in a hurry!
RIDE40,Can I get a refund for my last ride?
RIDE41,Is it safe to fly in this weather?
RIDE42,Can I change my destination?
RIDE43,Can I change my destination?
RIDE44,I want to schedule a ride for tomorrow.
RIDE45,Can I get a refund for my last ride?
RIDE46,I need to cancel my ride.
RIDE47,I want to schedule a ride for tomorrow.
RIDE48,I want to schedule a ride for tomorrow.
RIDE49,Why is the drone not here yet?
RIDE50,I need to cancel my ride.
RIDE51,Is it safe to fly in this weather?
RIDE52,Why is the drone not here yet?
RIDE53,Can I get a refund for my last ride?
RIDE54,Why is the drone not here yet?
RIDE55,Why is the drone not here yet?
RIDE56,I need to cancel my ride.
RIDE57,Why is the drone not here yet?
RIDE58,Is the ride on time? I'm in a hurry!
RIDE59,Why is the drone not here yet?
RIDE60,Can I get a refund for my last ride?
RIDE61,Can I get a refund for my last ride?
RIDE62,Why is the drone not here yet?
RIDE63,Can I change my destination?
RIDE64,Can I change my destination?
RIDE65,Can I get a refund for my last ride?
RIDE66,Is the ride on time? I'm in a hurry!
RIDE67,I want to schedule a ride for tomorrow.
RIDE68,I need to cancel my ride.
RIDE69,Why is the drone not here yet?
RIDE70,Why is the drone not here yet?
RIDE71,Why is the drone not here yet?
RIDE72,Is the ride on time? I'm in a hurry!
RIDE73,Why is the drone not here yet?
RIDE74,Why is the drone not here yet?
RIDE75,Why is the drone not here yet?
RIDE76,Can I change my destination?
RIDE77,I need to cancel my ride.
RIDE78,Is it safe to fly in this weather?
RIDE79,Can I get a refund for my last ride?
RIDE80,Why is the drone not here yet?
RIDE81,Can I change my destination?
RIDE82,I need to cancel my ride.
RIDE83,Can I change my destination?
RIDE84,Is it safe to fly in this weather?
RIDE85,Is it safe to fly in this weather?
RIDE86,Why is the drone not here yet?
RIDE87,I want to schedule a ride for tomorrow.
RIDE88,Can I change my destination?
RIDE89,Is the ride on time? I'm in a hurry!
RIDE90,Is the ride on time? I'm in a hurry!
RIDE91,I want to schedule a ride for tomorrow.
RIDE92,Is the ride on time? I'm in a hurry!
RIDE93,Why is the drone not here yet?
RIDE94,Why is the drone not here yet?
RIDE95,Can I get a refund for my last ride?
RIDE96,Can I get a refund for my last ride?
RIDE97,Why is the drone not here yet?
RIDE98,Is it safe to fly in this weather?
RIDE99,Is the ride on time? I'm in a hurry!
RIDE100,Is it safe to fly in this weather?
RIDE101,Can I change my destination?
RIDE102,Can I get a refund for my last ride?
RIDE103,Can I change my destination?
