ride_id,drone_id,timestamp,location,weather_conditions
RIDE1,DRONE4,2024-08-13T01:00:00,Suburb,Clear
RIDE2,DRONE1,2024-08-13T17:00:00,Downtown,Storm
RIDE3,DRONE9,2024-08-26T01:00:00,Uptown,Wind
RIDE4,DRONE8,2024-08-25T17:00:00,Downtown,Clear
RIDE5,DRONE8,2024-08-29T03:00:00,Uptown,Fog
RIDE6,DRONE5,2024-08-21T21:00:00,Midtown,Storm
RIDE7,DRONE4,2024-08-07T08:00:00,Midtown,Rain
RIDE8,DRONE18,2024-08-20T01:00:00,Suburb,Storm
RIDE9,DRONE3,2024-08-23T23:00:00,Downtown,Rain
RIDE10,DRONE19,2024-08-21T15:00:00,Uptown,Storm
RIDE11,DRONE14,2024-08-15T17:00:00,Suburb,Wind
RIDE12,DRONE2,2024-08-15T04:00:00,Midtown,Wind
RIDE13,DRONE1,2024-08-24T13:00:00,Midtown,Wind
RIDE14,DRONE3,2024-08-24T04:00:00,Suburb,Wind
RIDE15,DRONE7,2024-08-17T02:00:00,Downtown,Fog
RIDE16,DRONE8,2024-08-20T10:00:00,Uptown,Fog
RIDE17,DRONE17,2024-08-14T17:00:00,Midtown,Rain
RIDE18,DRONE20,2024-08-09T01:00:00,Suburb,Fog
RIDE19,DRONE1,2024-08-30T18:00:00,Midtown,Storm
RIDE20,DRONE18,2024-08-11T04:00:00,Midtown,Wind
RIDE21,DRONE7,2024-08-25T09:00:00,Uptown,Clear
RIDE22,DRONE18,2024-08-17T08:00:00,Downtown,Clear
RIDE23,DRONE14,2024-08-10T23:00:00,Downtown,Clear
RIDE24,DRONE8,2024-08-18T12:00:00,Uptown,Storm
RIDE25,DRONE15,2024-08-02T20:00:00,Suburb,Clear
RIDE26,DRONE19,2024-08-14T13:00:00,Suburb,Clear
RIDE27,DRONE9,2024-08-21T04:00:00,Downtown,Rain
RIDE28,DRONE1,2024-08-17T06:00:00,Midtown,Storm
RIDE29,DRONE6,2024-08-17T11:00:00,Midtown,Storm
RIDE30,DRONE14,2024-08-29T07:00:00,Suburb,Clear
RIDE31,DRONE11,2024-08-28T19:00:00,Uptown,Storm
RIDE32,DRONE9,2024-08-07T11:00:00,Midtown,Rain
RIDE33,DRONE5,2024-08-22T03:00:00,Suburb,Rain
RIDE34,DRONE7,2024-08-02T13:00:00,Uptown,Wind
RIDE35,DRONE11,2024-08-06T09:00:00,Downtown,Rain
RIDE36,DRONE4,2024-08-22T10:00:00,Uptown,Wind
RIDE37,DRONE3,2024-08-26T04:00:00,Downtown,Clear
RIDE38,DRONE13,2024-08-15T03:00:00,Suburb,Wind
RIDE39,DRONE4,2024-08-05T06:00:00,Uptown,Wind
RIDE40,DRONE12,2024-08-19T18:00:00,Suburb,Clear
RIDE41,DRONE12,2024-08-05T06:00:00,Downtown,Wind
RIDE42,DRONE20,2024-08-23T10:00:00,Midtown,Rain
